"request_id","amount_safe_to_pay","affordability_status","recommended_payment_method","payment_plan","earliest_date_for_full_payment","spending_changes_needed","decision_explanation"
"request_264","28531.57","affordable_later","wait","2026-06-15:111300","2026-06-15","none","Pay INR 111,300 in full on 15 June 2026. Paying earlier would take the balance below the INR 59,500 minimum."
"request_265","45970","affordable_now","full_payment","2024-03-06:45970","2024-03-06","none","Pay INR 45,970 today. This leaves at least INR 189,700 available over the next 90 days."
"request_266","773.83","affordable_later","wait","2025-09-15:935","2025-09-15","none","Pay EUR 935 in full on 15 September 2025. Paying earlier would take the balance below the EUR 900 minimum."
"request_267","1617.18","affordable_later","wait","2026-02-15:1925","2026-02-15","none","Pay EUR 1,925 in full on 15 February 2026. Paying earlier would take the balance below the EUR 1,500 minimum."
"request_268","1046.92","affordable_later","wait","2024-07-15:2426.60","2024-07-15","none","Pay EUR 2,426.60 in full on 15 July 2024. Paying earlier would take the balance below the EUR 1,400 minimum."
"request_269","0","not_affordable","not_recommended","none","","none","Do not proceed with the ZAR 15,490 request. Although ZAR 0 is available today, the full amount cannot be completed safely within 90 days."
"request_27","6670","affordable_now","full_payment","2026-07-05:6670","2026-07-05","none","Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
"request_270","37.33","not_affordable","not_recommended","none","","none","Do not make this payment by 30 August 2026. None of the available options keeps the USD 1,400 minimum protected."
"request_271","7148.77","not_affordable","not_recommended","none","","none","Do not make this payment by 15 November 2024. None of the available options keeps the INR 58,200 minimum protected."
"request_272","5415032.85","affordable_later","wait","2025-03-15:13585000","2025-03-15","none","Pay IDR 13,585,000 in full on 15 March 2025. Paying earlier would take the balance below the IDR 7,508,600 minimum."
"request_273","8342293.52","affordable_with_plan","partial_payment","2026-04-07:8342293.52|2026-04-15:7518706.48","2026-04-15","none","Pay IDR 8,342,293.52 today and the remaining IDR 7,518,706.48 on 15 April 2026. This completes the full request and keeps the IDR 18,774,600 minimum protected."
"request_274","2049.76","affordable_later","wait","2025-01-15:2713.70","2025-01-15","none","Pay EUR 2,713.70 in full on 15 January 2025. Paying earlier would take the balance below the EUR 1,800 minimum."
"request_275","15884000","affordable_now","full_payment","2025-05-06:15884000","2025-05-06","none","Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
"request_28","190.14","not_affordable","not_recommended","none","","none","Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,100 minimum protected."
"request_29","51524","affordable_now","full_payment","2025-11-04:51524","2025-11-04","none","Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
"request_30","775.20","affordable_now","full_payment","2026-04-06:775.20","2026-04-06","none","Pay USD 775.20 today. This leaves at least USD 900 available over the next 90 days."
"request_31","2732930.07","affordable_later","wait","2024-10-15:18164000","2024-10-15","none","Pay IDR 18,164,000 in full on 15 October 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum."
"request_32","0","not_affordable","not_recommended","none","","none","Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35,700 minimum protected."
"request_33","25125.62","affordable_later","wait","2026-03-15:118000","2026-03-15","none","Pay INR 118,000 in full on 15 March 2026. Paying earlier would take the balance below the INR 102,100 minimum."
"request_34","129400","affordable_now","full_payment","2024-12-04:129400","2024-12-04","none","Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
"request_35","22828.80","affordable_later","wait","2026-01-15:212000","2026-01-15","none","Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum."
"request_36","581.34","not_affordable","not_recommended","none","","none","Do not make this payment by 15 September 2026. None of the available options keeps the USD 2,400 minimum protected."
"request_37","2863643.58","not_affordable","not_recommended","none","","none","Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17,056,200 minimum protected."
"request_38","171.81","affordable_later","wait","2025-10-15:971.30","2025-10-15","none","Pay EUR 971.30 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum."
"request_39","48939.38","affordable_later","wait","2026-06-15:208600","2026-06-15","none","Pay INR 208,600 in full on 15 June 2026. Paying earlier would take the balance below the INR 213,400 minimum."
"request_40","0","not_affordable","not_recommended","none","","none","Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,500 minimum protected."
"request_41","7167356.77","affordable_later","wait","2026-01-15:38760000","2026-01-15","none","Pay IDR 38,760,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 25,366,600 minimum."
"request_42","22824.37","affordable_later","wait","2026-03-15:52100","2026-03-15","none","Pay INR 52,100 in full on 15 March 2026. Paying earlier would take the balance below the INR 113,100 minimum."
"request_43","8342128.42","affordable_later","wait","2024-11-15:43339000","2024-11-15","none","Pay IDR 43,339,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
"request_44","0","not_affordable","not_recommended","none","","none","Do not make this payment by 15 April 2025. None of the available options keeps the INR 82,900 minimum protected."
"request_45","2536381.74","not_affordable","not_recommended","none","","none","Do not make this payment by 15 September 2026. None of the available options keeps the IDR 11,149,800 minimum protected."
"request_46","35126.67","affordable_with_plan","partial_payment","2024-12-03:35126.67|2024-12-15:14323.33","2024-12-15","none","Pay INR 35,126.67 today and the remaining INR 14,323.33 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
"request_47","38114000","affordable_now","full_payment","2025-05-05:38114000","2025-05-05","none","Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
"request_48","45700","affordable_now","full_payment","2026-07-25:45700","2026-07-25","none","Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
"request_49","12751170.07","affordable_later","wait","2024-04-15:34333000","2024-04-15","none","Pay IDR 34,333,000 in full on 15 April 2024. Paying earlier would take the balance below the IDR 20,275,700 minimum."
"request_50","43900","affordable_now","full_payment","2025-08-06:43900","2025-08-06","none","Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
"request_51","2191000","affordable_now","full_payment","2026-01-03:2191000","2026-01-03","none","Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
"request_52","19388.71","affordable_with_plan","partial_payment","2024-06-05:19388.71|2024-06-15:9481.29","2024-06-15","none","Pay INR 19,388.71 today and the remaining INR 9,481.29 on 15 June 2024. This completes the full request and keeps the INR 41,500 minimum protected."
"request_53","465.19","affordable_later","wait","2026-01-15:1699.20","2026-01-15","none","Pay USD 1,699.20 in full on 15 January 2026. Paying earlier would take the balance below the USD 2,100 minimum."
"request_54","165.33","not_affordable","not_recommended","none","","none","Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
"request_55","142767.12","affordable_later","wait","2026-07-15:218600","2026-07-15","none","Pay INR 218,600 in full on 15 July 2026. Paying earlier would take the balance below the INR 124,300 minimum."
"request_56","635.70","affordable_later","wait","2025-02-15:881.56","2025-02-15","none","Pay USD 881.56 in full on 15 February 2025. Paying earlier would take the balance below the USD 2,100 minimum."
"request_57","10638.94","affordable_later","wait","2026-06-15:61446","2026-06-15","none","Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
"request_58","16226000","affordable_now","full_payment","2024-12-07:16226000","2024-12-07","none","Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
"request_59","140600","affordable_now","full_payment","2025-05-04:140600","2025-05-04","none","Pay INR 140,600 today. This leaves at least INR 132,600 available over the next 90 days."
"request_60","131.45","affordable_with_plan","partial_payment","2026-01-06:131.45|2026-01-15:68.44","2026-01-15","none","Pay USD 131.45 today and the remaining USD 68.44 on 15 January 2026. This completes the full request and keeps the USD 400 minimum protected."
"request_61","29062","affordable_now","full_payment","2024-03-03:29062","2024-03-03","none","Pay ZAR 29,062 today. This leaves at least ZAR 36,700 available over the next 90 days."
"request_62","404.23","affordable_now","full_payment","2025-08-05:404.23","2025-08-05","none","Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
"request_63","41401.63","not_affordable","not_recommended","none","","none","Do not proceed with the INR 343,900 request. Although INR 41,401.63 is available today, the full amount cannot be completed safely within 90 days."
"request_64","0","not_affordable","not_recommended","none","","none","Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
"request_65","4994.17","not_affordable","not_recommended","none","","none","Do not proceed with the ZAR 54,340 request. Although ZAR 4,994.17 is available today, the full amount cannot be completed safely within 90 days."
"request_66","22200","affordable_now","full_payment","2026-04-03:22200","2026-04-03","none","Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
"request_67","302.27","affordable_later","wait","2024-10-15:2094","2024-10-15","none","Pay USD 2,094 in full on 15 October 2024. Paying earlier would take the balance below the USD 1,200 minimum."
"request_68","1335.80","affordable_later","wait","2025-03-23:2091.60","2025-03-23","none","Pay USD 2,091.60 in full on 23 March 2025. Paying earlier would take the balance below the USD 1,500 minimum."
"request_69","529.10","affordable_now","full_payment","2026-01-04:529.10","2026-01-04","none","Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days."
"request_70","50373.62","affordable_later","wait","2025-02-15:243900","2025-02-15","none","Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
"request_71","0","not_affordable","not_recommended","none","","none","Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
"request_72","11330","affordable_now","full_payment","2026-07-05:11330","2026-07-05","none","Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
"request_73","71400","affordable_now","full_payment","2023-01-20:71400","2023-01-20","none","Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
"request_74","5010","affordable_now","full_payment","2025-08-04:5010","2025-08-04","none","Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
"request_75","28270","affordable_now","full_payment","2026-04-06:28270","2026-04-06","none","Pay ZAR 28,270 today. This leaves at least ZAR 39,000 available over the next 90 days."
"request_76","227.47","not_affordable","not_recommended","none","","none","Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
"request_77","59872.83","not_affordable","not_recommended","none","","none","Do not make this payment by 14 November 2025. None of the available options keeps the INR 82,200 minimum protected."
"request_78","0","not_affordable","not_recommended","none","","none","Do not make this payment by 14 October 2025. None of the available options keeps the INR 55,200 minimum protected."
"request_79","256.81","not_affordable","not_recommended","none","","none","Do not proceed with the EUR 2,151.60 request. Although EUR 256.81 is available today, the full amount cannot be completed safely within 90 days."
"request_80","100694.52","not_affordable","not_recommended","none","","none","Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
"request_81","2076","affordable_now","full_payment","2026-07-03:2076","2026-07-03","none","Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
"request_82","189.23","not_affordable","not_recommended","none","","none","Do not make this payment by 15 February 2025. None of the available options keeps the USD 1,100 minimum protected."
"request_83","0","not_affordable","not_recommended","none","","none","Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
"request_84","35647.21","affordable_later","wait","2026-06-15:95400","2026-06-15","none","Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum."
"request_85","367767.98","not_affordable","not_recommended","none","","none","Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
"request_86","46300","affordable_now","full_payment","2025-08-03:46300","2025-08-03","none","Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
"request_87","0","not_affordable","not_recommended","none","","none","Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
"request_88","10734.01","affordable_later","wait","2024-06-15:26092","2024-06-15","none","Pay ZAR 26,092 in full on 15 June 2024. Paying earlier would take the balance below the ZAR 25,800 minimum."
"request_89","9324615.66","affordable_later","wait","2026-01-15:13756000","2026-01-15","none","Pay IDR 13,756,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 12,534,700 minimum."
"request_90","2560","affordable_now","full_payment","2026-07-06:2560","2026-07-06","none","Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
"request_91","455.44","affordable_later","wait","2024-11-15:1927.20","2024-11-15","none","Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
"request_92","34034","affordable_now","full_payment","2025-02-05:34034","2025-02-05","none","Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
"request_93","1729.20","affordable_now","full_payment","2026-04-07:1729.20","2026-04-07","none","Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
"request_94","572","affordable_now","full_payment","2024-12-04:572","2024-12-04","none","Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days."
"request_95","3835.39","not_affordable","not_recommended","none","","none","Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
"request_96","10780.94","not_affordable","not_recommended","none","","none","Do not make this payment by 12 March 2026. None of the available options keeps the INR 56,500 minimum protected."
"request_97","1454.37","affordable_later","wait","2024-04-15:23496","2024-04-15","none","Pay ZAR 23,496 in full on 15 April 2024. Paying earlier would take the balance below the ZAR 29,700 minimum."
"request_98","7535.45","affordable_later","wait","2025-10-15:27148","2025-10-15","none","Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
"request_99","14927.83","not_affordable","not_recommended","none","","none","Do not make this payment by 14 July 2026. None of the available options keeps the ZAR 49,100 minimum protected."
